year,scenario,source,capacity_mw,capacity_added_mw,capacity_retired_mw,capacity_factor,energy_generated_mwh,annualized_capex,opex,total_cost,emissions_t
2036,toronto_natural_gas_to_solar,solar,8218.783,217.857,0.0,0.22,15839239.484,295876204.55,190070873.8,485947078.36,316784.79
2036,toronto_natural_gas_to_solar,wind,7191.436,190.625,0.0,0.35,22048941.327,373954647.42,330734119.9,704688767.32,330734.12
2036,toronto_natural_gas_to_solar,natural_gas,8218.783,217.857,0.0,0.55,39598098.709,301355393.53,1781914441.92,2083269835.45,17819144.419
2037,toronto_natural_gas_to_solar,battery,2110.643,55.947,0.0,0.15,2773384.998,84425722.93,22187079.99,106612802.92,0.0
2037,toronto_natural_gas_to_solar,solar,8442.572,223.789,0.0,0.22,16270525.324,303932602.57,195246303.89,499178906.45,325410.506
2037,toronto_natural_gas_to_solar,wind,7387.251,195.815,0.0,0.35,22649310.82,384137039.35,339739662.31,723876701.66,339739.662
2037,toronto_natural_gas_to_solar,natural_gas,8442.572,223.789,0.0,0.55,40676313.31,309560984.09,1830434098.95,2139995083.04,18304340.989
2038,toronto_natural_gas_to_solar,battery,2168.114,57.471,0.0,0.15,2848901.356,86724546.62,22791210.85,109515757.47,0.0
2038,toronto_natural_gas_to_solar,solar,8672.455,229.882,0.0,0.22,16713554.624,312208367.83,200562655.49,512771023.32,334271.092
2038,toronto_natural_gas_to_solar,wind,7588.398,201.147,0.0,0.35,23266027.744,394596687.11,348990416.16,743587103.27,348990.416
2038,toronto_natural_gas_to_solar,natural_gas,8672.455,229.882,0.0,0.55,41783886.561,317990004.27,1880274895.23,2198264899.5,18802748.952
2039,toronto_natural_gas_to_solar,battery,2227.149,59.035,0.0,0.15,2926473.945,89085964.85,23411791.56,112497756.42,0.0
2039,toronto_natural_gas_to_solar,solar,8908.596,236.142,0.0,0.22,17168647.147,320709473.48,206023765.76,526733239.24,343372.943
2039,toronto_natural_gas_to_solar,wind,7795.022,206.624,0.0,0.35,23899537.221,405341140.09,358493058.32,763834198.41,358493.058
2039,toronto_natural_gas_to_solar,natural_gas,8908.596,236.142,0.0,0.55,42921617.867,326648537.8,1931472804.0,2258121341.8,19314728.04
2040,toronto_natural_gas_to_solar,battery,881.111,182.963,1529.001,0.15,1157779.905,35244441.56,9262239.24,44506680.81,0.0
