year,scenario,source,capacity_mw,capacity_factor,energy_generated_mwh,annualized_capex,opex,total_cost,emissions_t
2040,base_case,natural_gas,11438.96,0.55,55112910.5,419428542.62,2480080972.51,2899509515.13,24800809.725
2041,base_case,battery,2350.086,0.15,3088013.297,94003448.93,24704106.38,118707555.3,0.0
2041,base_case,solar,7050.259,0.22,13587258.508,253809312.1,163047102.09,416856414.2,271745.17
2041,base_case,wind,8225.302,0.35,25218775.261,427715692.62,378281628.91,805997321.53,378281.629
2041,base_case,natural_gas,11750.431,0.55,56613577.116,430849140.91,2547610970.23,2978460111.14,25476109.702
2042,base_case,battery,2414.077,0.15,3172096.653,96563064.02,25376773.22,121939837.25,0.0
2042,base_case,solar,7242.23,0.22,13957225.274,260720272.86,167486703.28,428206976.14,279144.505
2042,base_case,wind,8449.268,0.35,25905456.0,439361941.29,388581840.0,827943781.3,388581.84
2042,base_case,natural_gas,12070.383,0.55,58155105.306,442580710.09,2616979738.79,3059560448.88,26169797.388
2043,base_case,battery,2479.809,0.15,3258469.51,99192374.74,26067756.08,125260130.82,0.0
2043,base_case,solar,7439.428,0.22,14337265.845,267819411.8,172047190.14,439866601.95,286745.317
2043,base_case,wind,8679.333,0.35,26610834.334,451325305.08,399162515.01,850487820.09,399162.515
2043,base_case,natural_gas,12399.047,0.55,59738607.689,454631717.57,2688237345.99,3142869063.56,26882373.46
2044,base_case,battery,2547.332,0.15,3347194.21,101893278.83,26777553.68,128670832.51,0.0
2044,base_case,solar,7641.996,0.22,14727654.522,275111852.85,176731854.27,451843707.11,294553.09
2044,base_case,wind,8915.662,0.35,27335419.379,463614418.68,410031290.68,873645709.36,410031.291
2044,base_case,natural_gas,12736.66,0.55,61365227.176,467010861.31,2761435222.93,3228446084.24,27614352.229
2045,base_case,battery,2616.693,0.15,3438334.789,104667725.7,27506678.31,132174404.01,0.0
2045,base_case,solar,7850.079,0.22,15128673.073,282602859.39,181544076.87,464146936.26,302573.461
2045,base_case,wind,9158.426,0.35,28079734.112,476238151.93,421196011.68,897434163.61,421196.012
2045,base_case,natural_gas,13083.466,0.55,63036137.803,479727076.12,2836626201.11,3316353277.24,28366262.011
2046,base_case,battery,2687.943,0.15,3531957.031,107517717.84,28255656.25,135773374.09,0.0
2046,base_case,solar,8063.829,0.22,15540610.936,290297838.17,186487331.24,476785169.4,310812.219
2046,base_case,wind,9407.8,0.35,28844315.753,489205616.17,432664736.3,921870352.47,432664.736
2046,base_case,natural_gas,13439.715,0.55,64752545.569,492789540.1,2913864550.59,3406654090.68,29138645.506
2047,base_case,battery,2761.133,0.15,3628128.508,110445312.27,29025028.06,139470340.33,0.0
2047,base_case,solar,8283.398,0.22,15963765.435,298202343.13,191565185.22,489767528.35,319275.309
2047,base_case,wind,9663.965,0.35,29629716.149,502526170.82,444445742.23,946971913.05,444445.742
2047,base_case,natural_gas,13805.664,0.55,66515689.314,506207681.23,2993206019.12,3499413700.35,29932060.191
2048,base_case,battery,2836.316,0.15,3726918.633,113452622.02,29815349.07,143267971.08,0.0
